mode: set
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:78.56,80.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:88.2,88.23 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:104.2,104.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:81.17,83.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:84.15,86.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:89.13,91.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:92.16,94.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:95.14,96.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:97.15,99.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:100.12,102.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:108.56,110.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:120.2,120.23 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:136.2,136.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:111.17,112.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:113.17,115.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:116.15,118.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:121.13,123.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:124.16,126.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:127.14,128.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:129.15,131.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:132.12,134.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:140.56,142.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:150.2,150.23 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:166.2,166.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:143.17,144.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:145.17,146.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:147.15,148.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:151.13,153.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:154.16,156.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:157.14,158.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:159.15,161.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:162.12,164.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:170.56,172.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:180.2,180.23 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:196.2,196.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:173.17,174.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:175.17,176.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:177.15,178.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:181.13,183.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:184.16,186.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:187.14,188.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:189.15,191.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:192.12,194.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:200.56,202.21 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:210.2,210.23 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:227.2,227.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:203.17,204.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:205.17,206.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:207.15,208.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:211.13,213.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:214.16,216.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:217.14,219.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:220.15,222.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:223.12,225.20 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:231.54,232.40 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:235.2,235.35 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:240.2,240.19 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:247.2,247.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:232.40,234.3 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:235.35,236.22 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:236.22,238.4 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:240.19,241.34 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:241.34,242.21 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:242.21,244.5 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:251.60,254.37 3 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:258.2,258.18 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:254.37,257.3 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:262.50,265.35 3 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:268.2,268.20 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:271.2,271.12 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:265.35,267.3 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:268.20,270.3 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:275.50,277.33 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:315.2,315.12 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:277.33,279.24 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:280.14,280.25 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:281.17,282.29 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:285.4,285.40 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:290.4,290.38 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:295.15,295.26 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:296.16,296.27 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:297.13,298.29 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:301.4,301.38 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:306.4,306.40 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:282.29,284.5 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:285.40,286.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:286.14,288.6 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:290.38,291.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:291.14,293.6 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:298.29,300.5 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:301.38,302.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:302.14,304.6 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:306.40,307.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:307.14,309.6 1 0
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:309.10,309.19 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:309.19,311.6 1 0
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:319.50,321.33 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:344.2,344.12 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:321.33,323.24 2 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:324.14,324.25 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:325.17,325.28 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:326.15,326.26 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:327.16,327.27 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:328.13,329.29 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:332.4,332.40 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:337.4,337.38 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:329.29,331.5 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:332.40,333.14 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:333.14,335.6 1 1
C:\Users\yeudiko\Desktop\Examples\GoTest\main.go:337.38,338.14 1 1
